Track ID,Track Name,Album Titles,Media Type,Genres
787,Loosen My Strings,Purpendicular,MPEG audio file,Rock
788,Soon Forgotten,Purpendicular,MPEG audio file,Rock
789,Sometimes I Feel Like Screaming,Purpendicular,MPEG audio file,Rock
790,Cascades : I'm Not Your Lover,Purpendicular,MPEG audio file,Rock
791,The Aviator,Purpendicular,MPEG audio file,Rock
792,Rosa's Cantina,Purpendicular,MPEG audio file,Rock
793,A Castle Full Of Rascals,Purpendicular,MPEG audio file,Rock
794,A Touch Away,Purpendicular,MPEG audio file,Rock
795,Hey Cisco,Purpendicular,MPEG audio file,Rock
796,Somebody Stole My Guitar,Purpendicular,MPEG audio file,Rock
797,The Purpendicular Waltz,Purpendicular,MPEG audio file,Rock
798,King Of Dreams,Slaves And Masters,MPEG audio file,Rock
799,The Cut Runs Deep,Slaves And Masters,MPEG audio file,Rock
800,Fire In The Basement,Slaves And Masters,MPEG audio file,Rock
801,Truth Hurts,Slaves And Masters,MPEG audio file,Rock
802,Breakfast In Bed,Slaves And Masters,MPEG audio file,Rock
803,Love Conquers All,Slaves And Masters,MPEG audio file,Rock
804,Fortuneteller,Slaves And Masters,MPEG audio file,Rock
805,Too Much Is Not Enough,Slaves And Masters,MPEG audio file,Rock
806,Wicked Ways,Slaves And Masters,MPEG audio file,Rock
807,Stormbringer,Stormbringer,MPEG audio file,Rock
808,Love Don't Mean a Thing,Stormbringer,MPEG audio file,Rock
809,Holy Man,Stormbringer,MPEG audio file,Rock
810,Hold On,Stormbringer,MPEG audio file,Rock
811,Lady Double Dealer,Stormbringer,MPEG audio file,Rock
812,You Can't Do it Right (With the One You Love),Stormbringer,MPEG audio file,Rock
813,High Ball Shooter,Stormbringer,MPEG audio file,Rock
814,The Gypsy,Stormbringer,MPEG audio file,Rock
815,Soldier Of Fortune,Stormbringer,MPEG audio file,Rock
816,The Battle Rages On,The Battle Rages On,MPEG audio file,Rock
817,Lick It Up,The Battle Rages On,MPEG audio file,Rock
818,Anya,The Battle Rages On,MPEG audio file,Rock
819,Talk About Love,The Battle Rages On,MPEG audio file,Rock
820,Time To Kill,The Battle Rages On,MPEG audio file,Rock
821,Ramshackle Man,The Battle Rages On,MPEG audio file,Rock
822,A Twist In The Tail,The Battle Rages On,MPEG audio file,Rock
823,Nasty Piece Of Work,The Battle Rages On,MPEG audio file,Rock
824,Solitaire,The Battle Rages On,MPEG audio file,Rock
825,One Man's Meat,The Battle Rages On,MPEG audio file,Rock
826,Pour Some Sugar On Me,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
827,Photograph,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
828,Love Bites,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
829,Let's Get Rocked,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
830,Two Steps Behind [Acoustic Version],Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
831,Animal,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
832,Heaven Is,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
833,Rocket,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
834,When Love & Hate Collide,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
835,Action,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
836,Make Love Like A Man,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
837,Armageddon It,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
838,Have You Ever Needed Someone So Bad,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
839,Rock Of Ages,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
840,Hysteria,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
841,Bringin' On The Heartbreak,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock
949,Get Out,King For A Day Fool For A Lifetime,MPEG audio file,Rock
950,Ricochet,King For A Day Fool For A Lifetime,MPEG audio file,Rock
951,Evidence,King For A Day Fool For A Lifetime,MPEG audio file,Rock
952,The Gentle Art Of Making Enemies,King For A Day Fool For A Lifetime,MPEG audio file,Rock
953,Star A.D.,King For A Day Fool For A Lifetime,MPEG audio file,Rock
954,Cuckoo For Caca,King For A Day Fool For A Lifetime,MPEG audio file,Rock
955,Caralho Voador,King For A Day Fool For A Lifetime,MPEG audio file,Rock
956,Ugly In The Morning,King For A Day Fool For A Lifetime,MPEG audio file,Rock
957,Digging The Grave,King For A Day Fool For A Lifetime,MPEG audio file,Rock
958,Take This Bottle,King For A Day Fool For A Lifetime,MPEG audio file,Rock
